Open,High,Low,Close,Volume
100.2346,100.2437,100.1876,100.2346,683845
100.2346,100.2592,100.1311,100.1516,512423
100.1516,100.1881,100.0212,100.0885,439933
100.0885,100.1399,100.073,100.1227,417390
100.1227,100.148,100.0619,100.1324,448154
100.1324,100.1387,99.9821,100.0,864533
100.0,100.0158,99.9961,100.0,231985
100.0,100.1438,99.9928,100.0734,171022
100.0734,100.0903,100.0499,100.0632,135261
100.0632,100.0864,100.0464,100.067,133580
100.067,100.1157,99.9836,99.9845,173742
99.9845,100.1173,99.9485,100.0794,276001
100.0686,100.1232,100.0416,100.0686,302527
100.0686,100.1058,99.9792,100.0252,211336
100.0252,100.06,99.8737,99.8737,225230
99.8737,99.8842,99.8737,99.8737,172872
99.8737,99.9726,99.8737,99.9459,222535
99.9459,99.9561,99.8737,99.8941,333835
99.8809,99.8958,99.8731,99.8809,266506
99.8809,99.8849,99.8655,99.8844,172510
99.8844,99.9245,99.861,99.9123,160818
99.9123,99.9132,99.8597,99.8894,159288
99.8894,99.9394,99.8718,99.9151,180155
99.9151,100.0499,99.8784,100.0213,323179
100.0108,100.0262,100.0108,100.0108,194258
100.0108,100.1359,100.0108,100.131,154909
100.131,100.1517,100.0108,100.0108,137697
100.0108,100.0585,100.0108,100.0486,119392
100.0486,100.271,100.0374,100.2417,173101
100.2417,100.2747,100.1085,100.1408,233446
100.1408,100.2661,100.1311,100.1408,276735
100.1408,100.357,100.1263,100.3427,249650
100.3427,100.3993,100.332,100.3599,163547
100.3599,100.4081,100.1868,100.2305,198985
100.2305,100.7689,100.2179,100.7689,369185
100.7689,100.7689,100.4447,100.5956,372520
100.6086,100.6224,100.5905,100.6086,315166
100.6086,100.6496,100.5978,100.6231,208427
100.6231,100.6599,100.5812,100.6584,192736
100.6584,100.6636,100.6258,100.6829,185730
100.6426,100.6841,100.6384,100.7185,216943
100.6782,100.6828,100.6731,100.7545,317123
100.6787,100.687,100.6714,100.7553,220270
100.6787,100.6851,100.6569,100.738,145682
100.6642,100.693,100.6589,100.7104,129717
100.6796,100.7578,100.671,100.7803,144048
100.7523,100.7553,100.696,100.7396,152264
100.7144,100.775,100.714,100.74,231480
100.74,100.7918,100.7242,100.74,247466
100.74,100.77,100.7039,100.7039,170487
100.7039,100.732,100.7039,100.7039,141409
100.7039,100.8069,100.7039,100.7863,164548
100.7863,100.9762,100.7235,100.9738,218305
100.9738,101.0144,100.9621,101.0144,267402
101.0072,101.0158,101.0045,101.0476,212573
101.0072,101.0196,100.9674,101.0162,145156
100.9758,101.0361,100.9515,101.0765,135979
101.0361,101.0361,101.0196,101.1057,123908
101.026,101.0361,101.0149,101.113,139397
101.0361,101.0361,101.0358,101.0698,212577
101.0361,101.1166,101.0259,101.067,380514
101.0361,101.0988,101.0311,101.1268,274940
101.0987,101.1262,101.0292,101.0769,237707
101.0516,101.297,101.0416,101.2907,320342
101.2907,101.3165,101.1873,101.211,283229
101.211,101.3176,101.2004,101.314,458122
101.3104,101.3129,101.3093,101.3104,227041
101.3104,101.3156,101.3034,101.3135,146845
101.3135,101.3257,101.2408,101.2705,140742
101.2705,101.292,101.1732,101.1748,154250
101.1748,101.2342,101.1732,101.2217,159453
101.2217,101.2268,101.1732,101.1803,245584
101.1805,101.1844,101.1626,101.1805,242419
101.1805,101.1951,101.1634,101.1701,159036
101.1701,101.1742,101.1607,101.1638,140252
101.1638,101.1996,101.137,101.1911,145992
101.1911,101.2382,101.182,101.2382,170353
101.2382,101.2382,101.2051,101.2299,246398
101.231,101.2316,101.2119,101.231,157622
101.231,101.2379,101.1314,101.1352,120502
101.1352,101.1991,101.1317,101.1774,97578
101.1774,101.1827,101.0861,101.1166,100890
101.1166,101.1563,101.1107,101.1418,106378
101.1418,101.1508,101.1171,101.1225,163644
101.1219,101.1219,101.1156,101.1219,162949
101.1219,101.1219,101.1134,101.1219,104752
101.1219,101.1219,101.0125,101.0243,111094
101.0243,101.1219,101.0171,101.1167,110133
101.1167,101.1216,101.0504,101.0769,113001
101.0769,101.0817,101.0451,101.0577,169129
101.0577,101.0817,101.0355,101.0577,158951
101.0577,101.0827,101.0324,101.0373,106318
101.0373,101.0607,101.0311,101.0506,93237
101.0506,101.0607,100.9824,101.0086,98388
